Sample_ID	Condition	Batch
ORF10_G1_R1_158_A_BC006_Cont	Cont	1
ORF10_G1_R1_158_A_BC007_EVC	EVC	1
ORF10_G1_R1_158_A_BC008_WT	WT	1
ORF10_G1_R1_158_A_BC009_MUT	MUT	1
ORF10_G1_R1_166_B_BC001_Cont	Cont	2
ORF10_G1_R1_166_B_BC002_EVC	EVC	2
ORF10_G1_R1_166_B_BC006_WT	WT	2
ORF10_G1_R1_166_B_BC007_MUT	MUT	2
ORF10_G1_R1_166_C_BC009_Cont	Cont	2
ORF10_G1_R1_166_C_BC010_EVC	EVC	2
ORF10_G1_R1_166_C_BC015_WT	WT	2
ORF10_G1_R1_166_C_BC016_MUT	MUT	2
